step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
0,0.313054,14.614647,1.0000,0.328251,11864.240180,0.328251,0.328251,0.003202,0.001051,1.000000
1,0.296338,14.586024,1.0000,0.315350,11271.921379,0.315350,0.315350,0.003208,0.001012,1.000000
2,0.248193,14.523873,1.0000,0.264644,8781.232219,0.264644,0.264644,0.003221,0.000852,1.000000
3,0.269316,14.436495,1.0000,0.285258,9571.355493,0.285258,0.285258,0.003239,0.000924,1.000000
4,0.268197,14.327435,1.0000,0.284214,9617.897925,0.284214,0.284214,0.003262,0.000927,1.000000
5,0.236989,14.198980,1.0000,0.254733,8275.662389,0.254733,0.254733,0.003290,0.000838,1.000000
6,0.272909,14.052824,1.0000,0.283737,9650.003415,0.283737,0.283737,0.003322,0.000942,1.000000
7,0.247651,13.890330,1.0000,0.256601,8153.241644,0.256601,0.256601,0.003358,0.000862,1.000000
8,0.241209,13.712652,1.0000,0.248714,7991.391262,0.248714,0.248714,0.003398,0.000845,1.000000
9,0.249260,13.520800,1.0000,0.254830,8053.049279,0.254830,0.254830,0.003443,0.000877,1.000000
10,0.247189,13.315684,1.0000,0.257147,8057.703898,0.257147,0.257147,0.003493,0.000898,1.000000
11,0.241391,13.098140,1.0000,0.253005,7845.236736,0.253005,0.253005,0.003547,0.000897,1.000000
12,0.221782,12.868946,1.0000,0.239060,7086.746341,0.239060,0.239060,0.003605,0.000862,1.000000
13,0.210742,12.628837,1.0000,0.233574,6866.247959,0.233574,0.233574,0.003669,0.000857,1.000000
14,0.233216,12.378512,1.0000,0.260696,7854.308439,0.260696,0.260696,0.003737,0.000974,1.000000
15,0.246206,12.118646,1.0000,0.262779,7959.240256,0.262779,0.262779,0.003811,0.001002,1.000000
16,0.222509,11.849886,1.0000,0.247923,7249.324752,0.247923,0.247923,0.003891,0.000965,1.000000
17,0.242478,11.572865,1.0000,0.258648,7818.396954,0.258648,0.258648,0.003977,0.001029,1.000000
