step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
0,0.481183,14.614647,4.0000,0.469051,13935.391746,1.789457,0.999972,0.050000,0.049999,0.558813
1,0.480849,14.586024,4.0000,0.473399,13442.084242,1.714484,0.922817,0.050000,0.046141,0.538248
2,0.466087,14.523873,4.0000,0.447453,12939.611570,1.757433,0.895228,0.050000,0.044761,0.509395
3,0.464846,14.436495,4.0000,0.451924,12521.138496,1.764612,0.877665,0.050000,0.043883,0.497370
4,0.459800,14.327435,4.0000,0.447616,11751.315789,1.709577,0.865944,0.050000,0.043297,0.506525
5,0.449637,14.198980,4.0000,0.438124,11459.649663,1.622377,0.855167,0.050000,0.042758,0.527108
6,0.448991,14.052824,4.0000,0.436224,12207.282757,1.637412,0.848030,0.050000,0.042402,0.517909
7,0.432948,13.890330,4.0000,0.416321,11198.480570,1.587396,0.841307,0.050000,0.042065,0.529992
8,0.419922,13.712652,4.0000,0.403130,11681.434176,1.507435,0.833599,0.050000,0.041680,0.552992
9,0.408389,13.520800,4.0000,0.396373,10484.719321,1.410816,0.823555,0.050000,0.041178,0.583744
10,0.401260,13.315684,4.0000,0.394222,10162.043476,1.280295,0.810756,0.050000,0.040538,0.633257
11,0.396044,13.098140,4.0000,0.389163,10313.637306,1.245301,0.799739,0.050000,0.039987,0.642205
12,0.380834,12.868946,4.0000,0.381403,9282.646285,1.199628,0.787814,0.050000,0.039391,0.656716
13,0.382428,12.628837,4.0000,0.375658,9246.164512,1.107000,0.766596,0.050000,0.038330,0.692499
14,0.387773,12.378512,4.0000,0.379467,9234.472287,1.076302,0.746000,0.050000,0.037300,0.693114
15,0.392616,12.118646,4.0000,0.380685,8852.366959,1.025489,0.724558,0.050000,0.036228,0.706549
16,0.383330,11.849886,4.0000,0.373994,8077.021165,0.976133,0.702189,0.050000,0.035109,0.719358
17,0.379029,11.572865,4.0000,0.376941,8372.701372,1.118569,0.683671,0.050000,0.034184,0.611201
18,0.369887,11.288198,4.0000,0.371487,7401.232204,1.159072,0.672570,0.050000,0.033628,0.580266
19,0.366230,10.996489,4.0000,0.370120,7414.574736,1.143038,0.665306,0.050000,0.033265,0.582051
20,0.348312,10.698330,4.0000,0.350293,5798.920684,1.048625,0.656918,0.050000,0.032846,0.626457
21,0.333959,10.394307,4.0000,0.337148,6157.761284,1.029403,0.649767,0.050000,0.032488,0.631208
22,0.315004,10.084996,4.0000,0.319016,4783.655728,1.000564,0.644817,0.050000,0.032241,0.644454
23,0.303380,9.770967,4.0000,0.313317,4472.305728,0.902550,0.635786,0.050000,0.031789,0.704434
24,0.294852,9.452787,4.0000,0.299117,3949.440450,0.952570,0.631403,0.050000,0.031570,0.662842
25,0.285905,9.131018,4.0000,0.296862,4650.123499,1.051292,0.632608,0.050000,0.031630,0.601743
26,0.269218,8.806214,4.0000,0.273426,3651.753356,0.963017,0.629829,0.050000,0.031491,0.654016
27,0.258927,8.478933,4.0000,0.274897,3365.672667,0.941416,0.621649,0.050000,0.031082,0.660334
28,0.248685,8.149728,4.0000,0.272267,4427.952976,1.044593,0.615304,0.050000,0.030765,0.589037
29,0.228758,7.819149,4.0000,0.244775,3634.470058,0.953810,0.605794,0.050000,0.030290,0.635131
30,0.220823,7.487746,4.0000,0.241014,3390.735911,0.949819,0.597418,0.050000,0.029871,0.628982
31,0.213266,7.156068,4.0000,0.227874,3236.011060,0.908080,0.592480,0.050000,0.029624,0.652454
32,0.205799,6.824666,4.0000,0.219706,3088.854085,0.876171,0.587418,0.050000,0.029371,0.670438
33,0.196014,6.494086,4.0000,0.211923,2958.647813,0.844730,0.579714,0.050000,0.028986,0.686271
