step,sigma_hat_0,sigma_t,approx_coeff,sure_val,pixel_delta_rms,effective_alpha
0,0.481183,14.614647,4.0000,356019.620444,0.047572,0.050000
1,0.481434,14.586024,4.0000,378108.167084,0.039266,0.050000
2,0.465638,14.523873,4.0000,383381.842469,0.035061,0.050000
3,0.461389,14.436495,4.0000,376973.403141,0.032223,0.050000
4,0.459357,14.327435,4.0000,416587.607008,0.030038,0.050000
5,0.449310,14.198980,4.0000,391068.122999,0.028063,0.050000
6,0.445144,14.052824,4.0000,376839.265137,0.026407,0.050000
7,0.432391,13.890330,4.0000,380172.747560,0.024793,0.050000
8,0.419893,13.712652,4.0000,355955.544610,0.023277,0.050000
9,0.408377,13.520800,4.0000,345172.800946,0.021919,0.050000
10,0.401866,13.315684,4.0000,335359.737434,0.020725,0.050000
11,0.397684,13.098140,4.0000,293970.365752,0.019664,0.050000
12,0.384177,12.868946,4.0000,300473.019191,0.018680,0.050000
13,0.385573,12.628837,4.0000,247791.522670,0.017827,0.050000
14,0.390361,12.378512,4.0000,242387.794676,0.017121,0.050000
15,0.392937,12.118646,4.0000,274227.970235,0.016465,0.050000
16,0.383795,11.849886,4.0000,301698.579402,0.015871,0.050000
17,0.379923,11.572865,4.0000,392949.948534,0.015343,0.050000
18,0.375321,11.288198,4.0000,396826.499224,0.014917,0.050000
19,0.367097,10.996489,4.0000,301014.076627,0.014588,0.050000
20,0.350085,10.698330,4.0000,279435.922933,0.014276,0.050000
21,0.335538,10.394307,4.0000,224377.991569,0.014024,0.050000
22,0.317774,10.084996,4.0000,173028.391980,0.013834,0.050000
23,0.305956,9.770967,4.0000,140659.626086,0.013706,0.050000
24,0.296032,9.452787,4.0000,148663.840557,0.013667,0.050000
25,0.286072,9.131018,4.0000,183779.179207,0.013683,0.050000
26,0.270588,8.806214,4.0000,131089.662680,0.013704,0.050000
27,0.259920,8.478933,4.0000,287192.006026,0.013837,0.050000
28,0.249168,8.149728,4.0000,540350.667380,0.013846,0.050000
29,0.229767,7.819149,4.0000,474877.901998,0.013890,0.050000
30,0.221220,7.487746,4.0000,341213.897427,0.014076,0.050000
31,0.214027,7.156068,4.0000,207727.672537,0.014297,0.050000
32,0.207688,6.824666,4.0000,135869.028929,0.014416,0.050000
33,0.196012,6.494086,4.0000,79722.967483,0.014652,0.050000
34,0.190631,6.164881,4.0000,52535.118161,0.014912,0.050000
35,0.178077,5.837600,4.0000,41643.404000,0.015248,0.050000
36,0.170444,5.512797,4.0000,36703.681080,0.015503,0.050000
37,0.154445,5.191027,4.0000,36838.090391,0.015871,0.050000
38,0.140114,4.872847,4.0000,28821.739008,0.016064,0.050000
39,0.130931,4.558818,4.0000,25715.120027,0.015992,0.050000
40,0.125606,4.249507,4.0000,22085.286818,0.015980,0.050000
41,0.120290,3.945484,4.0000,18762.900083,0.015991,0.050000
42,0.117102,3.647326,4.0000,28493.627602,0.015836,0.050000
43,0.109345,3.355617,4.0000,26249.493350,0.015671,0.050000
44,0.101517,3.070950,4.0000,19542.065873,0.015408,0.050000
45,0.099338,2.793929,4.0000,11363.472374,0.015101,0.050000
46,0.098965,2.525169,4.0000,16781.241630,0.015057,0.050000
47,0.094383,2.265302,4.0000,9417.189154,0.015088,0.050000
48,0.090049,2.014978,4.0000,5514.079967,0.014957,0.050000
49,0.085012,1.774869,4.0000,3228.715781,0.014696,0.050000
50,0.085158,1.545675,4.0000,2803.109339,0.014537,0.050000
51,0.090676,1.328130,4.0000,2917.836848,0.014430,0.050000
52,0.099300,1.123015,4.0000,4166.743126,0.014454,0.050000
53,0.109417,0.931163,4.0000,5839.228047,0.014686,0.050000
54,0.119884,0.753484,4.0000,7272.574886,0.015194,0.050000
55,0.132024,0.590990,4.0000,7180.654675,0.015679,0.050000
56,0.147675,0.444834,4.0000,9109.826574,0.016137,0.050000
57,0.160840,0.316379,4.0000,487.387739,0.016292,0.050000
58,0.176993,0.207320,4.0000,-1272.351205,0.015566,0.050000
59,0.119941,0.119941,4.0000,-1177.399716,0.014417,0.050000
60,0.057790,0.057790,4.0000,265.602948,0.012954,0.050000
61,0.029168,0.029168,4.0000,219.994963,0.011506,0.050000
