step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
0,0.485919,14.614647,4.0000,0.476115,14391.160188,1.789759,0.999953,0.050000,0.049998,0.558708
1,0.485722,14.586024,4.0000,0.478289,13287.068328,1.704605,0.922689,0.050000,0.046134,0.541292
2,0.467898,14.523873,4.0000,0.451111,12003.334790,1.762882,0.894937,0.050000,0.044747,0.507656
3,0.462737,14.436495,4.0000,0.444285,11745.527448,1.740498,0.878920,0.050000,0.043946,0.504982
4,0.459980,14.327435,4.0000,0.442820,13181.096160,1.720496,0.867413,0.050000,0.043371,0.504164
5,0.450457,14.198980,4.0000,0.440319,13405.751595,1.619057,0.855974,0.050000,0.042799,0.528687
6,0.447786,14.052824,4.0000,0.432281,12731.137644,1.649480,0.849371,0.050000,0.042469,0.514932
7,0.432997,13.890330,4.0000,0.412068,11378.590530,1.597359,0.843041,0.050000,0.042152,0.527772
8,0.420197,13.712652,4.0000,0.403848,11101.668932,1.497428,0.834781,0.050000,0.041739,0.557477
9,0.411504,13.520800,4.0000,0.395639,11054.961377,1.444201,0.826479,0.050000,0.041324,0.572274
10,0.403127,13.315684,4.0000,0.394362,10461.595572,1.288269,0.814227,0.050000,0.040711,0.632031
11,0.398386,13.098140,4.0000,0.389164,10317.327328,1.257383,0.803776,0.050000,0.040189,0.639245
12,0.383856,12.868946,4.0000,0.385536,8794.137195,1.191730,0.790645,0.050000,0.039532,0.663442
13,0.385456,12.628837,4.0000,0.377713,9081.086076,1.089715,0.767339,0.050000,0.038367,0.704165
14,0.390408,12.378512,4.0000,0.382577,9168.538900,1.078818,0.747271,0.050000,0.037364,0.692675
15,0.393025,12.118646,4.0000,0.379897,8791.434525,1.030987,0.726127,0.050000,0.036306,0.704302
16,0.383456,11.849886,4.0000,0.375433,7599.100920,0.974950,0.703383,0.050000,0.035169,0.721455
17,0.379520,11.572865,4.0000,0.377970,8891.267698,1.116027,0.684860,0.050000,0.034243,0.613659
18,0.375087,11.288198,4.0000,0.376576,8035.176702,1.164947,0.673584,0.050000,0.033679,0.578210
19,0.366776,10.996489,4.0000,0.369743,7504.679696,1.146441,0.666012,0.050000,0.033301,0.580939
20,0.351277,10.698330,4.0000,0.353319,6031.818957,1.048682,0.657448,0.050000,0.032872,0.626928
21,0.335975,10.394307,4.0000,0.341909,5925.136098,1.033514,0.650293,0.050000,0.032515,0.629206
22,0.317547,10.084996,4.0000,0.321413,4742.563643,1.002662,0.645339,0.050000,0.032267,0.643626
23,0.305312,9.770967,4.0000,0.306587,4593.203915,0.903282,0.637340,0.050000,0.031867,0.705583
24,0.295071,9.452787,4.0000,0.300611,4213.374161,0.948512,0.632407,0.050000,0.031620,0.666736
