step,sigma_hat_0,sigma_t,approx_coeff,sure_val,pixel_delta_rms,effective_alpha
0,0.478323,14.614647,4.0000,363289.370125,0.094522,0.050000
1,0.479846,14.586024,4.0000,359362.198111,0.092858,0.050000
2,0.465379,14.523873,4.0000,381410.597264,0.091669,0.050000
3,0.460989,14.436495,4.0000,381904.162931,0.091913,0.050000
4,0.457374,14.327435,4.0000,416288.483453,0.093116,0.050000
5,0.448426,14.198980,4.0000,383246.360772,0.001879,0.050000
6,0.447735,14.052824,4.0000,368666.406114,0.001989,0.050000
7,0.431703,13.890330,4.0000,384037.356032,0.002073,0.050000
8,0.418789,13.712652,4.0000,350873.474738,0.002101,0.050000
9,0.409887,13.520800,4.0000,354153.858769,0.002125,0.050000
10,0.404163,13.315684,4.0000,348918.537860,0.002109,0.050000
11,0.398478,13.098140,4.0000,288039.352720,0.002135,0.050000
12,0.384496,12.868946,4.0000,289483.691269,0.002159,0.050000
13,0.385401,12.628837,4.0000,259691.028644,0.002096,0.050000
14,0.390920,12.378512,4.0000,258239.694971,0.002088,0.050000
15,0.394404,12.118646,4.0000,275034.970649,0.002059,0.050000
16,0.384044,11.849886,4.0000,287255.514614,0.001947,0.050000
17,0.379332,11.572865,4.0000,392555.885333,0.002041,0.050000
18,0.374723,11.288198,4.0000,392331.744927,0.002080,0.050000
19,0.366589,10.996489,4.0000,306555.862666,0.002062,0.050000
20,0.348150,10.698330,4.0000,275402.851866,0.002035,0.050000
21,0.333913,10.394307,4.0000,228508.585937,0.002090,0.050000
22,0.316577,10.084996,4.0000,165438.566889,0.002196,0.050000
23,0.304151,9.770967,4.0000,146153.352901,0.002201,0.050000
24,0.294930,9.452787,4.0000,151159.815994,0.002290,0.050000
25,0.284934,9.131018,4.0000,194724.663770,0.002453,0.050000
26,0.271038,8.806214,4.0000,124693.790857,0.002477,0.050000
27,0.259898,8.478933,4.0000,277575.390512,0.002543,0.050000
28,0.249475,8.149728,4.0000,542506.321065,0.002820,0.050000
29,0.229397,7.819149,4.0000,468850.880256,0.002860,0.050000
30,0.221690,7.487746,4.0000,341889.958752,0.003160,0.050000
31,0.216848,7.156068,4.0000,208835.924422,0.003392,0.050000
32,0.208362,6.824666,4.0000,132944.102515,0.003716,0.050000
33,0.196916,6.494086,4.0000,76571.091735,0.003478,0.050000
34,0.190321,6.164881,4.0000,52657.295848,0.003881,0.050000
35,0.179020,5.837600,4.0000,40878.102466,0.003913,0.050000
36,0.171283,5.512797,4.0000,40214.166594,0.004595,0.050000
37,0.153802,5.191027,4.0000,36454.419733,0.005010,0.050000
38,0.143601,4.872847,4.0000,39504.828031,0.005398,0.050000
39,0.137406,4.558818,4.0000,47622.894102,0.004511,0.050000
40,0.133079,4.249507,4.0000,33296.740391,0.004461,0.050000
41,0.129373,3.945484,4.0000,53986.865097,0.004725,0.050000
42,0.121809,3.647326,4.0000,19935.286444,0.004515,0.050000
43,0.111566,3.355617,4.0000,14440.647553,0.004441,0.050000
44,0.100655,3.070950,4.0000,11293.428432,0.004354,0.050000
45,0.097658,2.793929,4.0000,8629.824021,0.004333,0.050000
46,0.093001,2.525169,4.0000,6115.058985,0.004320,0.050000
47,0.086478,2.265302,4.0000,5217.826617,0.004464,0.050000
48,0.079336,2.014978,4.0000,3421.976087,0.004427,0.050000
49,0.074293,1.774869,4.0000,2641.698529,0.004424,0.050000
50,0.070785,1.545675,4.0000,1875.197174,0.004399,0.050000
51,0.073075,1.328130,4.0000,1542.541947,0.004385,0.050000
52,0.079457,1.123015,4.0000,2088.066118,0.004416,0.050000
53,0.093279,0.931163,4.0000,3880.667589,0.004353,0.050000
54,0.103015,0.753484,4.0000,4546.555710,0.004411,0.050000
55,0.117771,0.590990,4.0000,4046.318358,0.004460,0.050000
56,0.131863,0.444834,4.0000,4345.300099,0.004524,0.050000
57,0.150830,0.316379,4.0000,1649.743317,0.004578,0.050000
58,0.168321,0.207320,4.0000,-599.016715,0.004601,0.050000
59,0.119941,0.119941,4.0000,-1439.982989,0.004582,0.050000
60,0.057790,0.057790,4.0000,87.501704,0.004530,0.050000
61,0.029168,0.029168,4.0000,211.671588,0.004448,0.050000
