step,sigma_hat_0,sigma_t,approx_coeff,sure_val,pixel_delta_rms,effective_alpha
0,0.481781,14.614647,4.0000,364497.649911,0.095212,0.050000
1,0.483984,14.586024,4.0000,375708.777998,0.093083,0.050000
2,0.467209,14.523873,4.0000,386132.143004,0.090124,0.050000
3,0.463491,14.436495,4.0000,381451.555926,0.088282,0.050000
4,0.460637,14.327435,4.0000,409776.495354,0.087107,0.050000
5,0.452874,14.198980,4.0000,398434.654114,0.001814,0.050000
6,0.450907,14.052824,4.0000,381699.550894,0.001968,0.050000
7,0.432456,13.890330,4.0000,382313.980073,0.002080,0.050000
8,0.417140,13.712652,4.0000,343591.293850,0.002162,0.050000
9,0.407555,13.520800,4.0000,354335.364807,0.002252,0.050000
10,0.402423,13.315684,4.0000,332300.736683,0.002333,0.050000
11,0.397402,13.098140,4.0000,279716.665952,0.002422,0.050000
12,0.384119,12.868946,4.0000,300702.244623,0.002484,0.050000
13,0.384873,12.628837,4.0000,247525.749593,0.002554,0.050000
14,0.388774,12.378512,4.0000,255727.516614,0.002646,0.050000
15,0.391508,12.118646,4.0000,241508.057920,0.002726,0.050000
16,0.382147,11.849886,4.0000,323035.507797,0.002772,0.050000
17,0.378742,11.572865,4.0000,403821.329763,0.002876,0.050000
18,0.375210,11.288198,4.0000,402943.377497,0.002960,0.050000
19,0.367664,10.996489,4.0000,311020.037923,0.003033,0.050000
20,0.351654,10.698330,4.0000,280026.941495,0.003083,0.050000
21,0.336151,10.394307,4.0000,232755.091467,0.003140,0.050000
22,0.317624,10.084996,4.0000,167789.083569,0.003182,0.050000
23,0.304893,9.770967,4.0000,132737.735206,0.003220,0.050000
24,0.295159,9.452787,4.0000,151106.040022,0.003257,0.050000
25,0.285115,9.131018,4.0000,174290.578979,0.003294,0.050000
26,0.271154,8.806214,4.0000,135353.841729,0.003299,0.050000
27,0.260686,8.478933,4.0000,281609.706525,0.003322,0.050000
28,0.248513,8.149728,4.0000,540046.139109,0.003329,0.050000
29,0.230511,7.819149,4.0000,469911.360336,0.003291,0.050000
30,0.222595,7.487746,4.0000,340772.176284,0.003291,0.050000
31,0.216526,7.156068,4.0000,205486.549556,0.003265,0.050000
32,0.208686,6.824666,4.0000,134999.233366,0.003245,0.050000
33,0.197154,6.494086,4.0000,75560.687708,0.003176,0.050000
34,0.189477,6.164881,4.0000,49364.706342,0.003155,0.050000
35,0.177051,5.837600,4.0000,40109.686659,0.003093,0.050000
36,0.170478,5.512797,4.0000,39513.800118,0.003062,0.050000
37,0.153016,5.191027,4.0000,35362.834896,0.002988,0.050000
38,0.141959,4.872847,4.0000,36554.838481,0.002937,0.050000
39,0.135484,4.558818,4.0000,41964.410481,0.002784,0.050000
40,0.130476,4.249507,4.0000,32842.967186,0.002706,0.050000
41,0.128325,3.945484,4.0000,60662.026332,0.002679,0.050000
42,0.120698,3.647326,4.0000,19566.928012,0.002573,0.050000
43,0.108515,3.355617,4.0000,12421.917996,0.002461,0.050000
44,0.098879,3.070950,4.0000,10709.623619,0.002366,0.050000
45,0.095359,2.793929,4.0000,8972.710861,0.002286,0.050000
46,0.090373,2.525169,4.0000,6660.393190,0.002207,0.050000
47,0.088780,2.265302,4.0000,5843.205375,0.002129,0.050000
48,0.084456,2.014978,4.0000,4393.638021,0.002038,0.050000
49,0.080882,1.774869,4.0000,2973.057638,0.001957,0.050000
50,0.075796,1.545675,4.0000,2603.553254,0.001875,0.050000
51,0.078356,1.328130,4.0000,2181.338361,0.001807,0.050000
52,0.086949,1.123015,4.0000,5033.910294,0.001750,0.050000
53,0.094613,0.931163,4.0000,4539.189949,0.001726,0.050000
54,0.106271,0.753484,4.0000,6433.214797,0.001717,0.050000
55,0.117602,0.590990,4.0000,4477.498652,0.001711,0.050000
56,0.135947,0.444834,4.0000,4459.134071,0.001709,0.050000
57,0.150957,0.316379,4.0000,4491.840807,0.001673,0.050000
58,0.171747,0.207320,4.0000,-1888.125140,0.001596,0.050000
59,0.119941,0.119941,4.0000,-1218.760412,0.001504,0.050000
60,0.057790,0.057790,4.0000,384.530928,0.001413,0.050000
61,0.029168,0.029168,4.0000,166.384880,0.001324,0.050000
