step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
0,0.480184,14.614647,4.0000,0.468008,14320.475846,1.785001,1.785001,0.003202,0.005716,1.000000
1,0.481525,14.586024,4.0000,0.469731,14145.310618,1.717185,1.717185,0.003208,0.005509,1.000000
2,0.466113,14.523873,4.0000,0.449382,12388.409491,1.764498,1.764498,0.003221,0.005683,1.000000
3,0.462075,14.436495,4.0000,0.444029,13293.188557,1.740763,1.740763,0.003239,0.005638,1.000000
4,0.458901,14.327435,4.0000,0.453054,12744.832109,1.700056,1.700056,0.003262,0.005546,1.000000
5,0.451159,14.198980,4.0000,0.439721,12186.627049,1.623877,1.623877,0.003290,0.005342,1.000000
6,0.448025,14.052824,4.0000,0.433643,12814.161023,1.640921,1.640921,0.003322,0.005451,1.000000
7,0.431030,13.890330,4.0000,0.414866,11944.339234,1.580150,1.580150,0.003358,0.005306,1.000000
8,0.416646,13.712652,4.0000,0.400072,10760.567559,1.499327,1.499327,0.003398,0.005095,1.000000
9,0.406757,13.520800,4.0000,0.392193,9717.618208,1.403898,1.403898,0.003443,0.004834,1.000000
10,0.400821,13.315684,4.0000,0.394190,9659.593456,1.272413,1.272413,0.003493,0.004444,1.000000
11,0.395968,13.098140,4.0000,0.391074,10516.238230,1.227076,1.227076,0.003547,0.004352,1.000000
12,0.383579,12.868946,4.0000,0.383939,9641.691165,1.193234,1.193234,0.003605,0.004302,1.000000
13,0.384892,12.628837,4.0000,0.376745,8635.233327,1.091453,1.091453,0.003669,0.004004,1.000000
14,0.389316,12.378512,4.0000,0.381290,8909.463044,1.065168,1.065168,0.003737,0.003981,1.000000
15,0.393282,12.118646,4.0000,0.380833,8049.533892,1.020500,1.020500,0.003811,0.003890,1.000000
16,0.383467,11.849886,4.0000,0.373856,8291.722871,0.973033,0.973033,0.003891,0.003786,1.000000
17,0.377475,11.572865,4.0000,0.371504,7712.315422,1.094473,1.094473,0.003977,0.004353,1.000000
18,0.371005,11.288198,4.0000,0.371558,8069.278666,1.164317,1.164317,0.004069,0.004738,1.000000
19,0.366266,10.996489,4.0000,0.367610,7000.907782,1.143246,1.143246,0.004168,0.004765,1.000000
20,0.348828,10.698330,4.0000,0.351151,5848.986484,1.041215,1.041215,0.004274,0.004450,1.000000
21,0.334855,10.394307,4.0000,0.339550,5956.585292,1.023835,1.023835,0.004388,0.004493,1.000000
22,0.316537,10.084996,4.0000,0.319380,5065.931928,0.998213,0.998213,0.004511,0.004503,1.000000
23,0.304239,9.770967,4.0000,0.305662,4548.916092,0.901920,0.901920,0.004642,0.004187,1.000000
24,0.295830,9.452787,4.0000,0.299332,4081.706879,0.952253,0.952253,0.004783,0.004555,1.000000
25,0.290401,9.131018,4.0000,0.301121,4631.895223,1.055254,1.055254,0.004935,0.005208,1.000000
26,0.272403,8.806214,4.0000,0.278456,3699.459452,0.964171,0.964171,0.005099,0.004916,1.000000
27,0.260374,8.478933,4.0000,0.273956,3225.678105,0.939565,0.939565,0.005275,0.004956,1.000000
28,0.250124,8.149728,4.0000,0.272608,4367.964852,1.043194,1.043194,0.005465,0.005701,1.000000
29,0.229566,7.819149,4.0000,0.244654,3428.301259,0.953173,0.953173,0.005669,0.005404,1.000000
30,0.221019,7.487746,4.0000,0.244505,3400.993532,0.964081,0.964081,0.005891,0.005679,1.000000
31,0.214545,7.156068,4.0000,0.231263,3293.533551,0.921095,0.921095,0.006130,0.005647,1.000000
32,0.206489,6.824666,4.0000,0.219271,3192.102602,0.874571,0.874571,0.006390,0.005589,1.000000
33,0.196337,6.494086,4.0000,0.211301,2942.126650,0.841227,0.841227,0.006672,0.005613,1.000000
34,0.188735,6.164881,4.0000,0.206748,2944.057135,0.822983,0.822983,0.006978,0.005743,1.000000
